country,couple_total(%),with_children(%),without_children(%),single_parent_total(%),single_mother(%),single_father(%),single_person(%),other_households_types
Austria,48.93,21.13,27.8,5.63,4.78,0.85,38.34,7.11
Belgium,52.22,23.98,28.24,7.42,6.08,1.35,35.5,4.86
Costa Rica,52.44,38.15,14.29,10.55,9.49,1.06,11.27,25.74
Czechia,47.03,21.7,25.32,7.15,6.11,1.04,39.15,6.67
Denmark,48.6,20.41,28.19,6.31,5.11,1.19,37.57,7.52
Estonia,46.2,25.46,20.73,6.83,6.09,0.74,36.99,9.98
Finland,45.64,17.06,28.58,5.43,4.5,0.93,45.34,3.6
France,49.73,22.19,27.54,7.68,6.23,1.45,37.78,4.81
Germany,45.78,17.89,27.89,5.41,4.44,0.98,43.14,5.67
Greece,52.14,24.03,28.11,4.66,3.82,0.84,32.35,10.85
Hungary,45.25,20.43,24.82,7.07,5.71,1.37,34.42,13.25
Iceland,45.19,25.42,19.77,7.35,6.23,1.12,29.16,18.29
Ireland,53.03,29.45,23.58,6.93,6.12,0.8,23.14,16.91
Italy,46.7,20.91,25.8,7.27,5.65,1.63,36.64,9.38
Japan,45.07,15.67,29.4,2.5,2.26,0.25,37.97,14.45
Korea,43.48,26.25,17.23,9.13,6.85,2.28,35.47,11.93
Latvia,27.8,12.21,15.6,13.44,11.21,2.23,41.08,17.68
Lithuania,50.09,23.74,26.35,7.18,6.68,0.5,35.16,7.58
Luxembourg,53.06,26.86,26.2,6.63,5.39,1.24,28.87,11.44
Netherlands,53.6,23.01,30.59,6.1,5.0,1.09,38.5,1.8
Norway,47.04,23.0,24.05,6.31,4.77,1.55,42.14,4.51
Poland,48.32,23.92,24.4,5.97,5.15,0.82,23.44,22.27
Portugal,57.17,25.77,31.41,7.22,6.24,0.98,24.77,10.83
Slovak Republic,37.15,16.99,20.16,6.23,5.39,0.84,31.4,25.21
Slovenia,45.41,20.97,24.44,6.93,5.57,1.36,34.0,13.66
Spain,50.87,25.46,25.41,8.57,6.89,1.69,26.98,13.58
Sweden,49.27,22.49,26.78,6.67,4.91,1.76,39.24,4.82
Switzerland,53.77,24.05,29.72,4.7,3.88,0.82,36.88,4.65
Türkiye,54.38,40.84,13.54,10.06,7.75,2.31,18.88,16.68
United States,53.19,19.85,33.34,6.8,5.21,1.58,27.61,12.41
Bulgaria,40.3,16.35,23.95,4.6,3.88,0.73,35.81,19.28
Croatia,51.51,24.78,26.73,5.42,4.39,1.04,27.8,15.27
Cyprus,56.92,27.42,29.5,6.17,4.94,1.23,24.49,12.43
Malta,46.92,21.11,25.81,5.68,4.56,1.12,32.51,14.89
Romania,45.66,20.73,24.93,6.5,4.56,1.94,33.63,14.21
EU average,47.97,22.09,25.88,6.71,5.53,1.18,34.0,11.32
